ranking,num,data,name,score
717,(149人评分),"
                         51话 /  2005年4月5日 / 浜津守 / 平山智                    ",玻璃假面,7.6
718,(703人评分),"
                          2012年9月29日                    ",壳中少女 排气,7.5
719,(276人评分),"
                         4话 /  2014年5月16日 / 橋本みつお / しげの秀一                    ",头文字D Final Stage,7.6
720,(80人评分),"
                         39话 /  1980年5月8日 / 富野喜幸(富野由悠季) / 矢立肇、富野喜幸(富野由悠季) / 湖川友謙                    ",传说巨神伊迪安,7.7
721,(525人评分),"
                         98话 /  2009年4月5日                    ",龙珠改,7.6
722,(397人评分),"
                         47话 /  1993年4月10日 / 芝山努 / 尼子騒兵衛 / 藤森雅也                    ",忍者乱太郎 1期,7.6
723,(427人评分),"
                         13话 /  2012年12月16日                    ",监狱兔 第5季,7.6
724,(680人评分),"
                         1话 /  2014年8月8日 / 八木竜一、山崎貴                    ",哆啦A梦：伴我同行,7.5
726,(991人评分),"
                         45话 /  1988年4月15日 / 井内秀治 / 矢立肇 / 芦田豊雄                    ",魔神英雄传,7.5
727,(243人评分),"
                          2005年10月29日                    ",机动战士Z高达II 恋人们,7.6
728,(208人评分),"
                          2011年3月5日                    ",哆啦A梦：新大雄与铁人兵团,7.6
729,(813人评分),"
                         1话 /  2010年7月17日 / 笹原和也 / 小林源文                    ",猫屎一号,7.5
730,(444人评分),"
                         13话 /  2008年10月13日 / 富岡聡 / 富岡聡、宮崎あぐり / 宮崎あぐり                    ",监狱兔 第三季,7.5
731,(621人评分),"
                         1话 /  2009年12月12日 / 境宗久 / 尾田栄一郎                    ",海贼王 强者世界,7.5
732,(125人评分),"
                         218话 /  1981年10月14日 / 高橋留美子 / 高田明美                    ",福星小子,7.6
733,(1581人评分),"
                         1话 /  2005年7月23日 / 荒川弘                    ",钢之炼金术师 香巴拉的征服者,7.5
734,(2211人评分),"
                         1话 /  2010年12月18日 / 奈須きのこ                    ",空之境界 终章 空之境界,7.5
735,(142人评分),"
                          2014年6月21日                    ",鲁邦三世 次元大介的墓标,7.6
736,(584人评分),"
                         4话 /  2013年10月2日                    ",精灵宝可梦 起源,7.5
737,(473人评分),"
                         11话 /  2017年4月11日 / 緑川ゆき／月刊 LaLa（白泉社）連載                    ",夏目友人帐 陆,7.5
738,(312人评分),"
                          1999年7月17日 / 高畑勲 / 石井寿一（いしいひさいち）                    ",我的邻居山田君,7.6
739,(319人评分),"
                         13话 /  2003年10月4日 / 奥脇雅晴 / 高橋留美子（小学館「人魚の森·人魚の傷」るーみっくわーるどスペシャル）                    ",人鱼之森,7.5
740,(405人评分),"
                         20话 /  1999-05-01 / Stephen Hillenburg                    ",海绵宝宝第一季,7.5
741,(678人评分),"
                         1话 /  2014年10月22日                    ",妄想学生会＊ OVA,7.5
742,(218人评分),"
                         34话 /  1996年3月9日 / 五十嵐卓哉 / 武内直子 / 爲我井克美                    ",美少女战士Sailor Stars,7.6
743,(6763人评分),"
                         13话 /  2010年4月2日 / 岸誠二 / 麻枝准 / 平田雄三                    ",Angel Beats!,7.5
744,(82人评分),"
                          2012                    ",蝙蝠侠 黑暗骑士归来（上）,7.7
745,(340人评分),"
                          2016年2月20日 / 中村章子 / 中村明日美子                    ",同级生,7.5
746,(2106人评分),"
                         50话 /  2012年4月5日 / ヒガアロハ                    ",白熊咖啡馆,7.5
747,(417人评分),"
                          2006年12月23日                    ",恶童,7.5
748,(149人评分),"
                         65话 /  1988年 / 达寇拉伯爵，管家雨果，女仆南妮                    ",怪鸭历险记,7.6
749,(323人评分),"
                          1991年9月14日                    ",老人Z,7.5
750,(91人评分),"
                          2016年6月17日 / Alan Barillaro                    ",鹬,7.7
751,(148人评分),"
                          2016年11月17日                    ",精灵宝可梦 太阳&月亮,7.6
752,(1301人评分),"
                         13话 /  2013年7月4日 / 高津カリノ                    ",跟班×服务,7.5
753,(71人评分),"
                         26话 /  1974年10月6日 / 松本零士 / 岡迫亘弘                    ",宇宙战舰大和号,7.7
754,(325人评分),"
                          2005年2月19日 / 渡部高志                    ",奇诺之旅 活着的目标 -life goes on.-,7.5
755,(852人评分),"
                         13话 /  2012年7月2日 / 杉田圭                    ",超译百人一首 歌之恋,7.5
756,(983人评分),"
                         1话 /  2013年11月9日 / 吉浦康裕 / 吉浦康裕 / 又賀大介                    ",颠倒的帕特玛,7.5
757,(386人评分),"
                         24话 /  2004年4月17日 / 冨永恒雄 / しげの秀一                    ",头文字D Fourth Stage,7.5
758,(337人评分),"
                         1话 /  2005年3月30日 / 中村隆太郎                    ",奇诺之旅 塔之国 -Free Lance-,7.5
759,(678人评分),"
                          2010年3月26日 / 迪恩·德布洛斯 / 克里斯·桑德斯                    ",驯龙高手,7.5
760,(124人评分),"
                         13话 /  2000年1月26日                    ",随风舞月影兰,7.6
761,(195人评分),"
                          1995年3月4日                    ",灌篮高手 湘北最大的危机！燃烧吧樱木花道,7.6
762,(256人评分),"
                         24话 /  2017年7月8日 / 竹内友                    ",舞动青春,7.5
763,(449人评分),"
                         74话 /  1997年11月26日 / 山内重保                    ",阿拉蕾,7.5
764,(90人评分),"
                         1话 /  2009-02-11 / Tomm Moore / Nora Twomey                    ",凯尔斯的秘密,7.6
765,(1029人评分),"
                         13话 /  2002年6月2日 / 加瀬充子 / 香川久                    ",最终兵器彼女,7.5
766,(118人评分),"
                         1话 /  2012年12月30日 C83                    ",第七届东方M-1漫才大赛,7.6
767,(343人评分),"
                         1话 /  2009年3月14日                    ",空之境界 Remix,7.5
768,(1252人评分),"
                         13话 /  2013年10月5日                    ",Little Busters! ～Refrain～,7.5
769,(100人评分),"
                         13话 /  2004年4月4日                    ",火鸟,7.6
770,(180人评分),"
                         51话 /  1999年2月7日 / 東堂いづみ / 馬越嘉彦                    ",小魔女DoReMi,7.6
771,(386人评分),"
                         4话 /  2006年3月29日 / 水島精二                    ",钢之炼金术师 PREMIUM COLLECTION,7.5
772,(2323人评分),"
                         1话 /  2004年11月20日 / 田澤潮                    ",云之彼端，约定的地方,7.5
773,(1887人评分),"
                         26话 /  2007年4月1日 / 岸誠二 / 木村太彦（掲載 月刊『ガンガンWING』スクウェア・エニックス刊）                    ",濑户的花嫁,7.5
774,(2428人评分),"
                         17话 /  2012年7月7日 / 川面真也 / 庵田定夏                    ",心灵链环,7.5
775,(123人评分),"
                         102话 /  1996年4月5日 / 大地丙太郎 / 小花美穗                    ",玩偶游戏,7.6
776,(158人评分),"
                         12话 /  2011年10月12日                    ",gdgd妖精s,7.6
777,(110人评分),"
                         52话 /  2007年1月7日 / 维克多.雨果                    ",悲惨世界 少女柯塞特,7.6
778,(90人评分),"
                         13话 /  1997 / 蔡志军                    ",哈哈镜花缘,7.6
779,(1498人评分),"
                         1话 /  2002年7月30日 / 森田宏幸                    ",猫的报恩,7.5
780,(571人评分),"
                         1话 /  2012年5月23日                    ",恶魔阿萨谢尔在召唤你 路西法篇,7.5
781,(2002人评分),"
                         51话 /  2008年4月10日 / 五十嵐卓哉 / 大久保篤                    ",噬魂师,7.5
782,(237人评分),"
                         1话 /  2005年12月10日                    ",翡翠森林狼与羊,7.5
783,(80人评分),"
                         19话 /  2002年2月3日 / 浅香守生・大橋誉志光 / ブロッコリー                    ",银河天使Z,7.6
784,(1115人评分),"
                         12话 /  2015年10月5日                    ",摇曳百合 3☆High!,7.5
785,(1190人评分),"
                         1话 /  2006年5月26日                    ",全金属狂潮 TSR OVA 战队长悠闲的一天,7.5
786,(703人评分),"
                         2话 /  2011年3月22日 / 中村春菊                    ",世界第一初恋 OAD,7.5
787,(138人评分),"
                         38话 /  2000年4月4日 / 高木淳 / 衛藤ヒロユキ / 加瀬政広                    ",咕噜咕噜魔法阵 心跳传说,7.6
788,(390人评分),"
                         8话 /  2006年4月5日                    ",大魔法峠,7.5
789,(202人评分),"
                         3话 /  2007年2月23日 / まつもとよしひさ / 新田祐克 / 大西貴子                    ",冬之蝉,7.5
790,(202人评分),"
                         38话 /  1989年4月6日 / 美原轟（原案）                    ",天空战记,7.5
791,(1684人评分),"
                         25话 /  2010年10月3日                    ",STAR DRIVER 闪亮的拓人,7.5
792,(183人评分),"
                          2007年3月10日                    ",哆啦A梦07剧场版：大雄的新魔界大冒险之7个魔法师,7.5
793,(80人评分),"
                         12话 /  2000年1月5日 / 渡部高志 / 上遠野浩平                    ",幻影死神,7.6
794,(80人评分),"
                         25话 /  2009年1月10日 / 满田拓也                    ",棒球大联盟 第五季,7.6
795,(432人评分),"
                         1话 /  2010年12月25日 / XEBEC                    ",苍穹之法芙娜 HEAVEN AND EARTH,7.5
796,(236人评分),"
                          2014年2月8日                    ",TIGER & BUNNY -The Rising-,7.5
797,(286人评分),"
                         12话 /  2015年4月4日 / 毛玉伍長                    ",摸索吧！部活剧 第三期,7.5
798,(987人评分),"
                         11话 /  2007年10月11日 / 矢野雄一郎 / 石川雅之 / 高岡淳一                    ",萌菌物语,7.5
799,(115人评分),"
                         26话 /  2004年11月13日 / 满田拓也                    ",棒球大联盟 第一季,7.6
800,(869人评分),"
                         38话 /  2013年10月7日 / 鍋島修 / 渡辺航                    ",飙速宅男,7.5
801,(1098人评分),"
                         1话 /  2013年7月20日                    ",起风了,7.5
802,(510人评分),"
                          2007年4月21日 / 中村隆太郎                    ",奇诺之旅 疾病之国 -For You-,7.5
803,(592人评分),"
                         12话 /  2001年10月5日 / 山賀博之 / 中山文十郎+ぢたま某 / 高村和宏                    ",魔力女管家,7.5
804,(1085人评分),"
                         1话 /  2010年9月11日 / 川口敬一郎 / 西尾公伯                    ",剧场版 快要坏掉的八音盒,7.5
805,(241人评分),"
                         1话 /  2012年11月2日 / John Kahrs                    ",纸人,7.5
806,(179人评分),"
                          1981年3月14日                    ",机动战士高达 剧场版Ⅰ,7.5
807,(150人评分),"
                         26话 /  2003年4月2日 / 佐藤竜雄                    ",宇宙星路,7.6
808,(777人评分),"
                         11话 /  2016年10月4日 / 出合小都美 / 緑川ゆき／月刊LaLa（白泉社）連載                    ",夏目友人帐 伍,7.5
809,(1855人评分),"
                         13话 /  2012年7月5日                    ",女子落语,7.5
810,(148人评分),"
                          1986年3月15日                    ",大雄与铁人兵团,7.6
811,(143人评分),"
                         24话 /  1988年3月14日 / 小林治 / 佐藤正(集英社「週刊少年ジャンプ」連載) / 山田みちしろ                    ",森林好小子,7.6
812,(281人评分),"
                         13话 /  2007年10月1日 / 小箱とたん / 杉本功                    ",素描本,7.5
813,(119人评分),"
                          2009年3月20日 / 大塚隆史 / 稲上晃、川村敏江、香川久                    ",光之美少女全明星DX 大家是朋友☆奇迹的全员大集合！,7.6
814,(759人评分),"
                         358话 /  2004年4月3日                    ",KERORO军曹,7.5
815,(1624人评分),"
                         13话 /  2014年1月5日                    ",天才麻将少女 全国篇,7.5
816,(1468人评分),"
                         13话 /  2016年7月1日 / 小坂知 / 夜宵草（comico）                    ",ReLIFE,7.5
817,(1266人评分),"
                         25话 /  2016年1月7日                    ",暗杀教室 第二季,7.5
818,(92人评分),"
                         2话 /  2012年1月31日                    ",再见绝望先生 Blu-ray BOX化纪念话,7.6
819,(1836人评分),"
                         10话 /  2017年1月11日 / 暁なつめ                    ",为美好的世界献上祝福！ 第二季,7.5
820,(52人评分),"
                         51话 /  2015年4月4日                    ",美妙天堂 第二期,7.7
821,(105人评分),"
                         26话 /  2009年4月4日 / 今川泰宏 / 永井豪 / 竹内進二                    ",真魔神 突击！Z篇,7.6
822,(606人评分),"
                         12话 /  2017年4月9日 / 谷口悟朗 / 加藤裕美(动画人物设定) / 海老川兼武(机械人物设定)                    ",ID-0,7.5
823,(465人评分),"
                         1话 /  2008-12-31 / 饺克力 / 饺克力                    ",打，打个大西瓜,7.5
824,(1924人评分),"
                         12话 /  2011年4月8日 / 中村春菊 / 菊地洋子                    ",世界第一初恋,7.5
825,(471人评分),"
                          2007年7月28日 / 原恵一 / 木暮正夫（「かっぱ大さわぎ」「かっぱびっくり旅」より）（岩崎書店刊）                    ",河童之夏,7.5
826,(265人评分),"
                         13话 /  2016年4月2日 / 「ニンジャスレイヤー」（発行元：株式会社KADOKAWA） / 稲戸せれれ、信じろ                    ",忍者杀手 特别编辑版,7.5
827,(1343人评分),"
                         1话 /  2009年12月29日 / 川口敬一郎 / 西尾公伯                    ",快要坏掉的八音盒,7.5
828,(1359人评分),"
                         13话 /  2016年4月3日 / 長崎健司 / 堀越耕平「僕のヒーローアカデミア」（週刊少年ジャンプ / 集英社）                    ",我的英雄学院,7.5
829,(843人评分),"
                         13话 /  1989 / 严定宪、林文肖、胡依红、王加世、阎善春、姚光华、沈寿林、薛梅君、彭戈 / 郑渊洁                    ",舒克和贝塔,7.5
830,(66人评分),"
                         330话 /  2002年4月19日 / 大地丙太郎（第1回 - 第4回） → やすみ哲夫（第9回 - ） / けらえいこ（メディアファクトリー刊）                    ",我们这一家,7.7
831,(87人评分),"
                          1983年8月20日                    ",Daicon4 开幕动画,7.6
832,(560人评分),"
                         12话 /  2012年1月5日                    ",侦探歌剧 少女福尔摩斯 第二幕,7.5
833,(377人评分),"
                         39话 /  1988年4月30日 / 池田成、浜津守 / 矢立肇 / 塩山紀生                    ",魔神坛斗士,7.5
834,(2375人评分),"
                         24话 /  2010年7月8日 / アミノテツロー / 小野不由美 / 越智信次                    ",尸鬼,7.5
835,(104人评分),"
                         38话 /  2014年7月5日 / 森脇真琴 / 原将治                    ",美妙天堂,7.6
836,(664人评分),"
                         9话 /  2012年8月17日                    ",出包王女Darkness OAD,7.5
837,(272人评分),"
                          2010年4月24日 / 西村聡 / 吉松孝博                    ",枪神 Badlands Rumble,7.5
838,(1986人评分),"
                         175话 /  2009年10月12日 / 石平信司 / 真島ヒロ（周刊少年Magazine／讲谈社） / 山本碧                    ",妖精的尾巴,7.5
839,(415人评分),"
                         12话 /  2017年1月8日 / 空知英秋                    ",银魂.,7.5
840,(2903人评分),"
                         13话 /  2015年4月2日                    ",我的青春恋爱物语果然有问题 续,7.4
841,(473人评分),"
                         52话 /  1997年                    ",西游记,7.5
842,(110人评分),"
                         1话 /  2007年5月23日 / 玛嘉·莎塔碧、Vincent Paronnaud / 玛嘉·莎塔碧                    ",我在伊朗长大,7.6
843,(111人评分),"
                         10话 /  2015年9月16日                    ",南方公园 第19季,7.5
844,(281人评分),"
                         48话 /  2012年2月5日                    ",Smile 光之美少女！,7.5
845,(1231人评分),"
                         14话 /  2010年7月2日 / 太田雅彦 / 大隈孝晴                    ",超元气三姐妹,7.5
846,(333人评分),"
                         13话 /  2002年4月4日 / 山賀博之 / GAINAX / 平松禎史                    ",安倍桥魔法☆商店街,7.5
847,(449人评分),"
                         1话 /  2017年5月20日 / 瀬下寛之 / 弐瓶勉『BLAME!』(講談社「アフタヌーン」所載)                    ",BLAME!,7.5
848,(175人评分),"
                         6话 /  1995年10月27日 / 北久保弘之 / 江川達也 / 川元利浩                    ",黄金宝贝,7.5
849,(175人评分),"
                         45话 /  1994年10月13日 / 中西伸彰 / 加瀬政広                    ",咕噜咕噜魔法阵,7.5
850,(1713人评分),"
                         26话 /  2007年4月3日 / 田中洋之 / 八木教広 / 梅原隆弘                    ",大剑,7.5
851,(1247人评分),"
                         13话 /  2015年10月4日 / 水島精二 / BONES・會川昇 / 伊藤嘉之                    ",Concrete Revolutio 超人幻想,7.5
852,(857人评分),"
                         11话 /  2016年4月10日 / 水島精二 / BONES・會川昇 / 伊藤嘉之                    ",Concrete Revolutio 超人幻想 THE LAST SONG,7.5
853,(356人评分),"
                         11话 /  2006年10月14日 / 渡辺正樹 / 城アラキ                    ",调酒师,7.5
854,(361人评分),"
                          2015年3月6日                    ",剧场版 希德尼娅的骑士,7.5
855,(516人评分),"
                         1话 /  2013年2月8日                    ",女子落 OAD,7.5
856,(625人评分),"
                         4话 /  1999年3月1日 / 平田敏夫 / 秋乃茉莉                    ",恐怖宠物店,7.5
857,(64人评分),"
                         1话 /  2016年11月4日 / 元永慶太郎 / 創通／フィールズ                    ",剧场版 银河机攻队Majestic Prince 觉醒的基因,7.6
858,(654人评分),"
                         8话 /  2014年1月29日                    ",Little Busters! EX,7.5
859,(843人评分),"
                         1话 /  2014年7月5日                    ",少女与战车 这次是真正的安齐奥战！,7.4
860,(53人评分),"
                         1话 /  1985年8月21日 / 高橋良輔 / 高橋良輔 / 塩山紀生                    ",装甲骑兵 最后的红肩队,7.6
861,(2133人评分),"
                         12话 /  2015年7月10日                    ",监狱学园,7.4
862,(443人评分),"
                         37话 /  1991年3月15日 / 福田己津央 / 矢立肇 / 吉松孝博                    ",高智能方程式,7.5
863,(146人评分),"
                         50话 /  2009年2月1日 / 志水淳児 / 香川久                    ",Fresh 光之美少女！,7.5
864,(73人评分),"
                         1话 /  2009-02-06(美国) / 亨利·塞利克                    ",鬼妈妈,7.6
865,(125人评分),"
                         5话 /  2010年8月13日                    ",东方PVD,7.5
866,(386人评分),"
                         14话 /  2002年9月26日 / 山賀博之 / 中山文十郎、ぢたま某 / 高村和宏                    ",魔力女管家～更美丽的事物～,7.5
867,(567人评分),"
                         46话 /  1990年3月9日 / 井内秀治 / 矢立肇、広井王子 / 芦田豊雄                    ",魔神英雄传2,7.5
868,(66人评分),"
                         1话 /  2013年12月30日 C85                    ",第八届东方M-1漫才大赛,7.6
869,(145人评分),"
                         12话 /  2005年4月2日 / 小林常夫 / 森薫                    ",英国恋物语艾玛,7.5
870,(55人评分),"
                         1话 /  2009年4月15日 / 新房昭之                    ",不可思议的教室 OVA,7.6
871,(437人评分),"
                         1话 /  2010年4月28日 / 伊藤尚往 / 尾田栄一郎 / 新垣重文                    ",海贼王 强者世界 前传,7.5
872,(190人评分),"
                          2016年4月23日                    ",游戏王 The Dark Side of Dimensions,7.5
873,(95人评分),"
                          1973年6月30日 / Jules Michelet                    ",悲伤的贝拉多娜,7.5
874,(114人评分),"
                         1话 /  2010年12月30日                    ",第五届东方M-1漫才大赛,7.5
875,(595人评分),"
                         10话 /  2014年7月11日 / 冨士川祐輔 / 石井あゆみ                    ",信长协奏曲,7.4
876,(176人评分),"
                         50话 /  2012年10月8日 / 木村隆一 / サンライズ / やぐちひろこ                    ",偶像活动 第一年,7.5
877,(91人评分),"
                         1话 /  2016年6月25日                    ",机动战士高达 雷霆宙域 DECEMBER SKY,7.5
878,(488人评分),"
                         2话 /  2009年3月17日 / 多田俊介 / CLAMP / 菊地洋子                    ",翼·年代记 春雷记,7.5
879,(715人评分),"
                         1话 /  2012年10月5日 / 桜場コハル                    ",南家三姐妹 久候多时,7.4
880,(366人评分),"
                         192话 /  2002-11-21 / 汤山邦彦（总导演）、日高政光（导演） / 田尻智、杉森建、増田顺一 / 一石小百合（第1话 - 第191话）、松原德弘（第1话 - 第6话）、毛利和昭（第1话 - 第6话）、松岛贤二、西野弘二                    ",精灵宝可梦 超世代,7.5
881,(370人评分),"
                         1话 /  日本：1999-07-17、美国：2000-07-21、台湾、香港：2001-01-20等 / 汤山邦彦 / 田尻智 / 一石小百合                    ",剧场版 精灵宝可梦：梦幻的精灵宝可梦  洛奇亚爆诞,7.5
882,(121人评分),"
                         1话 /  1989年3月11日                    ",大雄的日本诞生,7.5
883,(69人评分),"
                         1话 /  2000年4月7日 / 森岡浩之                    ",星界的断章 诞生,7.6
884,(1644人评分),"
                         16话 /  2013-07-18                    ",红白黑黄,7.4
885,(201人评分),"
                         49话 /  2004年2月1日 / 西尾大介 / 東堂いづみ / 稲上晃                    ",两人是光之美少女,7.5
886,(210人评分),"
                         3话 /  1997年1月25日 / 青木康直 / 富野由悠季、矢立肇                    ",新机动战记高达W 无尽的华尔兹,7.5
887,(116人评分),"
                          1989 / Wolfgang Lauenstein、Christoph Lauenstein                    ",平衡,7.5
888,(203人评分),"
                         1话 /  2012年10月20日                    ",幻想万华镜 泡沫、哀伤的桃源,7.5
889,(497人评分),"
                         12话 /  2013年7月3日 / 佐藤順一 / 飯塚晴子                    ",玉响～more aggressive～,7.4
890,(204人评分),"
                         24话 /  2004年6月24日                    ",库拉乌 幻之记忆,7.5
891,(2293人评分),"
                         25话 /  2008年4月3日 / 河森正治 / 江端里沙                    ",超时空要塞Frontier,7.4
892,(75人评分),"
                         1话 /  2016年1月8日                    ",鲁邦三世 意大利游戏,7.5
893,(85人评分),"
                          2007年11月10日 / 長峯達也 / 川村敏江、爲我井克美                    ",Yes! 光之美少女5 镜之国的奇迹大冒险!,7.5
894,(110人评分),"
                         25话 /  2015年4月5日                    ",网球优等生 第二季,7.5
895,(66人评分),"
                          2005年12月10日 / 志水淳児 / 東堂いづみ / 稲上晃、爲我井克美                    ",光之美少女 Max Heart 雪空的朋友,7.6
896,(2733人评分),"
                         10话 /  2016年1月13日 / 金﨑貴臣 / 暁なつめ                    ",为美好的世界献上祝福！,7.4
897,(5581人评分),"
                         26话 /  2011年10月9日 / えすのサカエ                    ",未来日记,7.4
898,(474人评分),"
                         13话 /  1999年10月15日 / 政木伸一 / しげの秀一                    ",头文字D Second Stage,7.4
899,(949人评分),"
                          2010年8月21日 / 原恵一 / 森絵都                    ",意外的幸运签,7.4
900,(133人评分),"
                         1话 /  2008年9月4日 / Santiago Grasso                    ",雇工人生,7.5
901,(68人评分),"
                         12话 /  2007年10月26日 / 高橋良輔 / 矢立肇、高橋良輔 / 塩山紀生                    ",装甲骑兵 佩鲁森档案,7.6
902,(1577人评分),"
                         13话 /  2004年10月1日 / 新房昭之 / 都築真紀／ivory                    ",魔法少女奈叶,7.4
903,(173人评分),"
                         5话 /  1993年2月21日 / 合田浩章 / 松原秀典                    ",我的女神 OVA,7.5
904,(825人评分),"
                         6话 /  2005年2月25日 / 伊藤尚往 / 秋山瑞人 / 倉嶋丈康                    ",伊里野的天空、UFO的夏天,7.4
905,(788人评分),"
                         1话 /  2009年6月23日 / 及川啓 / 桜場コハル / 田中誠輝                    ",南家三姐妹 饭后甜点,7.4
906,(116人评分),"
                         63话 /  2004年10月11日                    ",怪医黑杰克,7.5
907,(90人评分),"
                         26话 /  2005年12月10日 / 满田拓也                    ",棒球大联盟 第二季,7.5
908,(176人评分),"
                          2002年3月30日 / 遠藤卓司 / ヘッドギア                    ",机动警察 十三号废弃物,7.5
909,(2375人评分),"
                         26话 /  2013年10月3日 / 篠原俊哉 / Project-118 / 石井百合子                    ",来自风平浪静的明天,7.4
910,(125人评分),"
                          2002年2月10日 / 富野由悠季                    ",剧场版∀高达II 月光蝶,7.5
911,(2491人评分),"
                         52话 /  2007年4月1日 / 川口敬一郎 / 畑健二郎 / 堀内修                    ",旋风管家,7.4
912,(171人评分),"
                         1话 /  2001年12月15日 / 謝立文 / 麥家碧、謝立文                    ",麦兜故事,7.5
913,(99人评分),"
                         39话 /  2013年6月8日 / 原泰久                    ",王者天下 第二季,7.5
914,(80人评分),"
                         25话 /  2010年4月3日 / 福岛利规 / 满田拓也                    ",棒球大联盟 第六季,7.5
915,(93人评分),"
                         3话 /  2007年4月27日 / 大畑晃一 / 峰倉かずや                    ",最游记RELOAD 埋葬篇,7.5
916,(2665人评分),"
                         12话 /  2009年10月8日 / 岡村天斎 / BONES、岡村天斎                    ",DARKER THAN BLACK -流星的双子-,7.4
917,(431人评分),"
                         2话 /  2012年12月3日 / 中村光                    ",圣哥传 OAD,7.4
918,(621人评分),"
                         2话 /  2008年7月17日 / 高松信司 / 小林尽 / 渡辺はじめ                    ",校园迷糊大王 三学期,7.4
919,(2059人评分),"
                         12话 /  2015年1月10日 / 大森貴弘 / 成田良悟                    ",无头骑士异闻录×2 承,7.4
920,(130人评分),"
                         26话 /  2001年4月7日 / 浅香守生、大橋誉志光 / 藤田まり子                    ",银河天使,7.5
921,(1548人评分),"
                         12话 /  2016年1月10日 / 中村亮介 / 十文字青 （ オーバーラップ文庫刊 ） / 細居美恵子                    ",灰与幻想的格林姆迦尔,7.4
922,(125人评分),"
                         13话 /  2013年1月9日                    ",gdgd妖精s 第2季,7.5
923,(1001人评分),"
                         46话 /  1992年3月7日 / 佐藤順一、幾原邦彦 / 武内直子 / 只野和子                    ",美少女战士,7.4
924,(80人评分),"
                         26话 /  1999年10月7日 / ワタナベシンイチ / 石野聡                    ",迷糊女战士,7.5
925,(2196人评分),"
                         12话 /  2015年4月4日                    ",血界战线,7.4
926,(1994人评分),"
                         12话 /  2013年7月8日 / 若木民喜                    ",只有神知道的世界 女神篇,7.4
927,(1522人评分),"
                         13话 /  2013年10月2日                    ",京骚戏画,7.4
928,(925人评分),"
                         13话 /  2008年10月7日 / 中村亮介 / 京極夏彦 / 西田亜沙子                    ",魍魉之匣,7.4
929,(156人评分),"
                          2004年3月6日                    ",哆啦A梦 大雄的猫狗时空传,7.5
930,(217人评分),"
                         65话 /  2009年8月26日 / 森井ケンシロウ / 荒川弘                    ",钢之炼金术师 四格剧场,7.4
931,(785人评分),"
                         6话 /  2005年5月28日 / さとうけいいち / さとうけいいち / 羽山賢二                    ",鸦 -KARAS-,7.4
932,(216人评分),"
                         52话 /  1996年9月16日                    ",超能勇士,7.5
933,(58人评分),"
                         1话 /  2007年5月20日                    ",第一届东方M-1漫才大赛,7.6
934,(1252人评分),"
                         26话 /  2004年9月30日 / 小原正和 / 矢立肇 / 久行宏和                    ",舞-HiME,7.4
935,(371人评分),"
                         13话 /  2011年4月4日                    ",火球 魅力之章,7.4
936,(117人评分),"
                          1995年3月4日                    ",大雄的创世日记,7.5
937,(208人评分),"
                         38话 /  1994年3月19日 / 幾原邦彦 / 武内直子 / 伊藤郁子                    ",美少女战士S,7.4
938,(849人评分),"
                         12话 /  2015年4月5日                    ",HELLO 黄金拼图,7.4
939,(593人评分),"
                         2话 /  2007年12月19日 / 塩谷直義 / Production I.G / 谷川史子                    ",东京糖衣巧克力,7.4
940,(1818人评分),"
                         13话 /  2016年1月15日 / 安藤裕章 / 桜井画門                    ",亚人,7.4
941,(1455人评分),"
                         1话 /  2011年12月21日                    ",龙与虎 OVA 便当的精髓,7.4
942,(1545人评分),"
                         12话 /  2012年10月5日 / 矢吹健太朗・長谷見沙貴                    ",出包王女Darkness,7.4
943,(1508人评分),"
                         11话 /  2009年7月9日 / 橘正紀 / 野崎あつこ(野崎温子)                    ",东京地震8.0,7.4
944,(3556人评分),"
                         13话 /  2012年10月1日                    ",邻座的怪同学,7.4
945,(1018人评分),"
                         13话 /  2013年7月2日                    ",战勇。第2期,7.4
946,(1149人评分),"
                         26话 /  2007年4月1日 / 都築真紀                    ",魔法少女奈叶StrikerS,7.4
947,(399人评分),"
                         92话 /  2013年10月17日                    ",精灵宝可梦XY,7.4
948,(365人评分),"
                         12话 /  2011年4月4日 / 大羽快                    ",和殿下一起～眼罩之野心～,7.4
949,(466人评分),"
                         1话 /  2013年8月6日                    ",南家三姐妹 夏日假期,7.4
950,(115人评分),"
                          1994年3月12日                    ",大雄与梦幻三剑士,7.5
951,(291人评分),"
                          2014年7月19日                    ",回忆中的玛妮,7.4
952,(123人评分),"
                          2009年12月12日                    ",人间失格 剧场版,7.5
953,(59人评分),"
                         13话 /  2015年4月6日 / たかはしひでやす                    ",怪盗Joker2,7.5
954,(3835人评分),"
                         25话 /  2016年4月3日 / 渡邊政治 / 長月達平                    ",Re：从零开始的异世界生活,7.4
955,(498人评分),"
                          2015年10月3日                    ",苍蓝钢铁的琶音 Cadenza,7.4
956,(356人评分),"
                         13话 /  2008年4月7日 / 荒川航 / 福地仁                    ",火球,7.4
957,(131人评分),"
                         18话 /  2016年9月16日                    ",精灵宝可梦：世代,7.5
958,(293人评分),"
                          2006年3月4日                    ",哆啦A梦：大雄的恐龙 2006,7.4
959,(575人评分),"
                         13话 /  1987年 / 钱远达 阎善春                    ",邋遢大王奇遇记,7.4
960,(264人评分),"
                         2话 /  2009年8月10日 / 今千秋 / 二ノ宮知子 / 島村秀一                    ",交响情人梦 OAD,7.4
